Event_Duration_Hours,Event_Type,Event_Complexity,Number_of_Attendees,Venue_Size,Resources_Available,Team_Size,External_Dependencies,Budget,Historical_Preparation_Time_Hours,Preparation_Time_Hours
20,Hackathon,Medium,809,Medium,Medium,12,Yes,Low,100,245
4,Hackathon,Low,882,Large,Low,14,Yes,Low,401,394
19,Conference,Low,1373,Small,Low,18,No,Medium,193,350
3,Workshop,Low,138,Large,High,27,Yes,Low,26,10
19,Conference,High,447,Small,Medium,28,Yes,Low,462,458
20,Conference,Low,760,Medium,Medium,18,Yes,Low,21,141
7,Hackathon,Low,510,Small,Low,16,Yes,Low,175,176
20,Hackathon,High,1091,Large,Medium,16,Yes,Medium,155,300
9,Conference,Medium,1231,Small,High,13,Yes,Low,291,363
1,Workshop,Low,220,Small,Medium,29,No,Medium,488,366
8,Hackathon,Low,1947,Large,High,9,No,High,46,254
7,Workshop,Low,911,Medium,Medium,26,Yes,Medium,79,139
18,Workshop,Low,54,Medium,Medium,28,No,Medium,178,175
8,Conference,Medium,1130,Small,Medium,41,No,High,344,364
1,Conference,Low,1312,Medium,Medium,13,No,Low,179,282
11,Conference,Low,544,Small,High,36,Yes,Medium,262,244
18,Conference,Medium,1443,Small,Medium,9,No,High,355,504
23,Hackathon,Medium,470,Medium,Medium,47,Yes,High,469,444
10,Hackathon,Medium,400,Small,Low,14,Yes,Medium,306,304
3,Conference,Medium,1880,Large,Medium,12,Yes,Low,440,523
7,Hackathon,Medium,1077,Large,High,32,No,High,151,189
16,Conference,Medium,36,Medium,Medium,38,Yes,Low,394,311
16,Workshop,Medium,803,Large,Medium,3,Yes,Medium,282,384
20,Workshop,Medium,1130,Medium,High,16,No,Medium,234,363
17,Workshop,High,984,Small,Medium,20,No,Medium,192,271
2,Conference,Low,557,Medium,Medium,32,No,Medium,230,190
1,Workshop,Medium,630,Small,Medium,23,Yes,High,62,71
16,Hackathon,Low,576,Small,High,17,Yes,Medium,127,219
12,Workshop,Medium,713,Large,High,16,No,Low,374,402
5,Workshop,Medium,1252,Medium,Medium,38,Yes,Medium,168,194
5,Workshop,High,194,Large,Medium,8,No,Medium,455,370
23,Hackathon,Low,1102,Small,High,19,Yes,Medium,145,296
9,Conference,Medium,1862,Medium,Low,30,No,High,423,503
9,Hackathon,Medium,1163,Small,Medium,34,Yes,High,86,172
3,Conference,Medium,1600,Medium,Low,14,Yes,Medium,345,423
19,Conference,Medium,1923,Medium,High,22,No,Low,459,622
16,Workshop,Medium,1642,Medium,Low,44,Yes,Medium,54,186
16,Conference,Medium,857,Small,Medium,17,Yes,High,27,163
3,Hackathon,Medium,608,Small,Low,15,No,Medium,364,344
20,Hackathon,Medium,815,Small,Medium,50,Yes,High,438,412
24,Conference,Low,1664,Medium,High,48,Yes,Medium,412,533
22,Workshop,High,1753,Large,Medium,32,Yes,Medium,214,393
24,Workshop,Medium,1367,Small,Medium,13,Yes,Medium,333,501
1,Hackathon,High,1958,Medium,Medium,21,Yes,Medium,92,224
24,Workshop,Low,1187,Large,Medium,49,No,High,59,201
20,Conference,High,1580,Medium,High,40,No,Low,290,398
11,Conference,High,88,Medium,Medium,33,Yes,Low,175,146
17,Hackathon,Medium,588,Large,High,27,Yes,Medium,252,300
8,Conference,Medium,1888,Small,Medium,35,No,Low,386,458
4,Hackathon,Medium,422,Small,Medium,16,No,Medium,488,440
6,Conference,High,555,Small,Medium,28,Yes,Low,173,170
8,Hackathon,Medium,1642,Large,Medium,34,No,Low,333,409
20,Workshop,Low,178,Large,Medium,47,No,Medium,65,61
3,Conference,Medium,690,Medium,High,1,Yes,Medium,48,142
16,Conference,High,1696,Small,Medium,41,Yes,Low,328,418
3,Hackathon,High,592,Medium,Low,48,Yes,Low,137,98
18,Hackathon,High,524,Small,High,31,No,Low,400,390
14,Conference,Medium,1347,Small,High,36,No,Medium,131,231
18,Hackathon,Low,41,Medium,Low,44,No,Low,256,219
2,Conference,Low,296,Large,Medium,33,Yes,Medium,195,140
22,Workshop,Low,603,Large,Medium,33,No,Medium,217,265
3,Hackathon,Low,1076,Medium,High,39,No,Medium,324,315
16,Conference,Medium,1936,Small,High,18,No,Low,313,498
9,Workshop,Low,626,Small,High,23,Yes,Medium,398,371
4,Workshop,Medium,1034,Small,High,23,No,High,248,292
1,Conference,High,1606,Medium,Medium,15,Yes,Medium,224,300
4,Hackathon,Medium,279,Large,High,26,No,Medium,301,230
1,Conference,High,1213,Small,Medium,30,No,Medium,233,257
14,Workshop,Medium,1769,Medium,Low,25,Yes,Low,97,266
21,Conference,Low,527,Small,Medium,45,No,Medium,34,98
16,Hackathon,Medium,1136,Small,High,16,Yes,High,438,514
20,Workshop,Low,1043,Medium,High,39,No,Medium,229,308
24,Conference,Medium,592,Small,Low,48,Yes,Medium,284,319
8,Hackathon,Medium,1123,Medium,High,45,No,Medium,144,175
7,Workshop,Low,235,Large,High,14,No,Low,451,394
3,Hackathon,Low,679,Medium,Medium,17,Yes,Low,242,254
17,Workshop,Medium,1773,Small,Medium,12,Yes,High,474,625
1,Conference,High,926,Small,High,29,Yes,High,75,107
16,Hackathon,Medium,135,Medium,Medium,32,Yes,Medium,89,89
12,Workshop,Medium,965,Small,Low,24,Yes,High,432,459
19,Hackathon,Low,1242,Small,High,13,No,Medium,264,396
22,Hackathon,Medium,1130,Medium,High,20,No,Low,134,277
23,Conference,Medium,83,Medium,Medium,15,No,Medium,155,217
22,Hackathon,Medium,1660,Medium,High,4,Yes,Low,112,349
14,Workshop,High,1224,Small,Medium,34,No,High,394,448
6,Workshop,Medium,1715,Large,Low,28,No,High,456,518
6,Workshop,High,1852,Small,Medium,50,Yes,High,396,413
13,Workshop,High,1993,Small,Medium,2,Yes,Medium,392,566
19,Conference,Low,1749,Medium,High,47,Yes,Low,286,390
22,Hackathon,Medium,65,Medium,Low,30,No,Low,391,365
8,Conference,High,729,Large,Medium,26,Yes,Medium,133,172
2,Hackathon,Low,562,Medium,Medium,47,No,Medium,423,308
21,Hackathon,Medium,41,Large,High,26,Yes,Medium,276,272
1,Hackathon,High,1560,Large,Low,20,No,High,287,364
15,Conference,Medium,583,Medium,Low,42,Yes,High,120,122
1,Hackathon,Low,676,Medium,Medium,28,No,Low,390,341
5,Conference,Medium,293,Medium,High,20,Yes,Low,322,266
16,Workshop,Low,1754,Large,Medium,11,Yes,Medium,98,311
19,Workshop,Medium,1865,Medium,Medium,10,No,Low,396,573
4,Hackathon,Low,1527,Small,Low,23,No,Medium,167,276
3,Conference,Medium,196,Medium,High,37,Yes,Medium,225,128
17,Workshop,Medium,507,Small,Low,41,Yes,Low,393,368
17,Conference,Medium,1475,Medium,Medium,19,Yes,Medium,310,448
12,Conference,Medium,139,Small,Medium,45,Yes,Medium,45,10
14,Hackathon,Medium,648,Medium,Medium,18,Yes,High,96,166
21,Workshop,Medium,1325,Large,High,49,No,Low,127,240
6,Hackathon,Low,123,Small,Medium,27,No,High,337,249
3,Hackathon,Medium,1232,Small,High,6,Yes,Medium,457,484
9,Workshop,Low,22,Small,High,10,Yes,Medium,191,177
5,Workshop,High,1304,Medium,Medium,2,Yes,Low,77,219
24,Conference,Low,1634,Small,High,24,Yes,Medium,443,586
17,Workshop,Medium,1248,Small,High,38,Yes,Medium,368,439
14,Conference,Medium,453,Small,High,28,Yes,Medium,168,184
21,Conference,Medium,1823,Medium,Medium,28,Yes,Medium,294,454
3,Conference,Low,1545,Small,Medium,45,Yes,Medium,452,460
1,Workshop,Medium,456,Medium,Medium,50,Yes,High,173,82
20,Hackathon,Medium,995,Small,High,39,Yes,Low,470,484
21,Conference,Medium,1002,Medium,Medium,2,Yes,High,370,480
23,Hackathon,Medium,724,Small,Medium,46,No,Low,82,172
1,Hackathon,Medium,83,Medium,Medium,5,No,High,128,102
3,Workshop,Medium,546,Small,Medium,50,No,High,350,247
18,Hackathon,Medium,110,Medium,Medium,11,Yes,Medium,204,241
10,Hackathon,Medium,185,Large,Low,10,Yes,Medium,98,137
22,Workshop,Medium,436,Large,Medium,43,Yes,Medium,354,349
3,Conference,Low,1150,Medium,High,2,Yes,Low,85,217
8,Hackathon,Low,1199,Medium,Medium,15,No,Medium,230,315
14,Workshop,Low,50,Large,High,39,Yes,Medium,148,126
24,Hackathon,Low,438,Medium,Low,41,Yes,High,381,395
18,Hackathon,Medium,353,Small,Medium,37,Yes,High,404,374
15,Conference,Medium,1457,Large,High,7,Yes,Medium,250,401
22,Hackathon,Low,375,Medium,High,20,No,Medium,163,241
23,Workshop,High,1153,Small,Medium,34,Yes,Medium,62,217
2,Hackathon,Low,618,Small,High,35,No,Medium,151,117
10,Conference,Medium,666,Small,High,34,Yes,Medium,329,313
2,Conference,Medium,737,Medium,High,22,No,Medium,473,430
17,Workshop,Medium,238,Small,Medium,31,Yes,High,403,390
8,Conference,Low,834,Small,Low,23,No,Medium,40,118
1,Hackathon,Medium,1163,Small,Medium,19,Yes,Medium,232,288
9,Conference,Medium,1385,Medium,Medium,4,No,Medium,301,410
11,Workshop,High,898,Medium,Low,24,Yes,Medium,275,324
22,Conference,Medium,1351,Small,High,20,Yes,Medium,291,451
16,Conference,High,993,Small,Low,39,No,Medium,285,320
7,Conference,Low,1682,Small,Medium,28,No,Low,390,454
10,Workshop,Medium,845,Large,Medium,39,Yes,Medium,53,116
23,Conference,Medium,1370,Medium,High,17,No,Medium,71,265
3,Conference,Medium,1306,Medium,Medium,19,Yes,Medium,210,262
18,Hackathon,Low,126,Small,High,48,No,Medium,344,297
24,Workshop,Medium,827,Medium,Medium,35,No,Medium,18,159
13,Conference,Medium,377,Medium,High,32,Yes,Medium,80,107
7,Workshop,Medium,1127,Small,High,47,No,High,99,132
4,Conference,Medium,177,Small,Medium,46,No,Medium,33,10
13,Conference,High,963,Small,High,47,Yes,High,149,189
20,Conference,Low,1748,Large,Low,46,No,Medium,325,459
1,Hackathon,High,1374,Large,Medium,39,Yes,Medium,349,346
8,Hackathon,High,670,Medium,Low,35,No,Medium,385,367
14,Hackathon,High,1947,Medium,Medium,30,No,Low,87,265
16,Workshop,Medium,704,Small,High,17,Yes,Low,223,295
14,Workshop,Medium,934,Medium,Low,42,No,Medium,25,96
12,Hackathon,High,161,Medium,Medium,47,Yes,Medium,38,10
19,Workshop,Low,595,Small,Medium,29,Yes,Medium,425,435
23,Conference,Medium,1910,Large,Medium,6,Yes,Medium,476,679
15,Conference,Medium,922,Small,Medium,17,Yes,Medium,384,446
2,Conference,Medium,283,Small,High,17,No,Low,300,266
2,Hackathon,Low,1587,Medium,Low,14,Yes,Medium,52,187
23,Workshop,Medium,505,Medium,Medium,24,Yes,Low,361,418
22,Hackathon,High,1757,Medium,Medium,50,No,Medium,384,494
19,Workshop,Low,110,Small,Medium,37,Yes,Medium,62,98
22,Conference,High,566,Large,Medium,40,Yes,Medium,285,339
22,Hackathon,Low,1115,Medium,High,39,Yes,Low,380,453
17,Workshop,Medium,1562,Medium,Medium,32,No,Low,241,360
20,Workshop,Low,82,Large,Medium,36,Yes,Medium,221,208
10,Conference,Low,1047,Medium,Low,50,Yes,Medium,17,71
6,Hackathon,High,1466,Small,Medium,37,Yes,Low,131,212
15,Hackathon,Medium,166,Medium,High,48,No,High,492,396
22,Hackathon,Medium,744,Small,Low,14,Yes,Low,51,202
11,Conference,Low,141,Small,Medium,27,No,Medium,342,289
5,Hackathon,Medium,1371,Medium,High,19,No,Low,242,311
1,Conference,Medium,1028,Large,Medium,31,No,Medium,79,113
8,Conference,Medium,1437,Small,Medium,46,Yes,Medium,376,411
21,Conference,Medium,1409,Medium,Medium,9,Yes,Low,25,258
12,Workshop,High,1921,Small,Low,38,No,Medium,78,244
12,Hackathon,Medium,568,Medium,High,17,Yes,Medium,62,143
5,Hackathon,Medium,116,Medium,Low,19,Yes,Medium,182,140
7,Conference,Low,1653,Medium,High,44,Yes,Low,444,462
4,Conference,Medium,274,Small,Medium,4,No,Medium,491,425
6,Hackathon,Medium,1238,Medium,High,48,No,Low,271,273
13,Conference,Medium,1112,Large,Low,11,Yes,Medium,388,460
20,Hackathon,Low,164,Medium,Medium,22,No,Medium,298,323
15,Workshop,High,1816,Medium,Medium,4,Yes,High,472,621
3,Conference,Low,997,Large,Medium,17,No,Medium,24,92
23,Hackathon,Medium,1006,Small,Medium,8,Yes,Medium,279,442
8,Conference,Medium,256,Medium,High,46,No,Medium,176,110
20,Hackathon,Low,540,Large,High,34,Yes,Low,72,145
